timestamp,idx,path,c1,c2,c3,eb1_s,eb2_s,eb3_s,eb1_l,eb2_l,eb3_l
1613880472.384183,16,short_path,50257,26088,70306,0.0,0.0,0.0,0.0,0.0,0.0
1613880472.473581,16,short_path,50247,26077,70284,86862686822.92746,116743223075.90692,86862686822.92746,0.0,0.0,0.0
1613880472.489824,32,long_path,4137,3108,12656,307171772886.45013,238837061880.23804,40179380828.95832,0.0,0.0,0.0
1613880472.562877,16,short_path,50247,26069,70275,307171772886.45013,238837061880.23804,40179380828.95832,1992674879.338623,2678149807.069767,1992674879.3386226
1613880472.581595,32,long_path,3121,3121,12657,568467974607.7069,174564272636.17847,34587298391.82354,1992674879.338623,2678149807.069767,1992674879.3386226
1613880472.653321,16,short_path,50243,26071,70273,568467974607.7069,174564272636.17847,34587298391.82354,6911096410.371662,5374060039.339979,904668273.3685712
1613880472.669606,32,long_path,4150,3127,12665,784881100554.1573,99990214062.72432,73839495363.3467,6911096410.371662,5374060039.339979,904668273.3685712
1613880472.743993,16,short_path,50390,26068,70279,784881100554.1573,99990214062.72432,73839495363.3467,12858852600.797647,3899135971.272964,838706161.7859946
1613880472.759697,32,long_path,4137,3121,12661,917563258719.0698,120027273956.09949,29176154172.5228,12858852600.797647,3899135971.272964,838706161.7859946
1613880472.832986,16,short_path,50276,26086,70313,917563258719.0698,120027273956.09949,29176154172.5228,17816984205.45481,2272286279.917263,1718857701.459872
1613880472.849476,32,long_path,4138,3122,12654,972399140634.6843,147135813779.2284,62311913143.81458,17816984205.45481,2272286279.917263,1718857701.459872
1613880472.922591,16,short_path,50291,26100,70347,972399140634.6843,147135813779.2284,62311913143.81458,20883172337.28534,2728537889.701122,672461919.0493617
1613880472.940005,32,long_path,3124,3124,12668,974571112268.1069,139910911668.80936,42820890296.29698,20883172337.28534,2728537889.701122,672461919.0493617
1613880473.017044,16,short_path,50344,26122,70401,974571112268.1069,139910911668.80936,42820890296.29698,22114919912.30144,3243187492.754318,1421493792.258102
1613880473.031245,32,long_path,4163,3118,12680,947714440773.7513,129001148959.9394,52500941983.54362,22114919912.30144,3243187492.754318,1421493792.258102
1613880473.106994,16,short_path,50328,26117,70365,947714440773.7513,129001148959.9394,52500941983.54362,22140367724.73161,3081342365.2817416,998132023.2853699
1613880473.120544,32,long_path,4134,3114,12680,909199248143.4358,135347096487.76074,50222239785.22777,22140367724.73161,3081342365.2817416,998132023.2853699
1613880473.197064,16,short_path,50297,26103,70330,909199248143.4358,135347096487.76074,50222239785.22777,21531156843.58619,2930569953.775416,1221328977.6372561
1613880473.211585,32,long_path,4096,3125,12677,872268977689.0115,144833016740.18372,46427773704.06051,21531156843.58619,2930569953.775416,1221328977.6372561
1613880473.285907,16,short_path,50280,26095,70312,872268977689.0115,144833016740.18372,46427773704.06051,20679106004.501663,3072182203.478531,1137830583.8011334
1613880473.300627,32,long_path,4127,3128,12671,846187537917.8378,141223137130.47845,53637714770.20124,20679106004.501663,3072182203.478531,1137830583.8011334
1613880473.37715,16,short_path,50396,26076,70291,846187537917.8378,141223137130.47845,53637714770.20124,19870458589.298595,3240580420.9768753,1095596778.1661813
1613880473.390454,32,long_path,4135,3117,12664,834643219426.9734,134929468451.98746,46226497771.101074,19870458589.298595,3240580420.9768753,1095596778.1661813
1613880473.466532,16,short_path,50242,26077,70286,834643219426.9734,134929468451.98746,46226497771.101074,19303360387.707207,3160015885.527576,1224169656.779423
1613880473.480479,32,long_path,4120,3108,12665,836117580010.2593,136729946741.77007,51777411787.59251,19303360387.707207,3160015885.527576,1224169656.779423
1613880473.5563672,16,short_path,50248,26075,70298,836117580010.2593,136729946741.77007,51777411787.59251,19054441780.552338,3033851321.7754107,1072542226.837228
1613880473.5711942,32,long_path,4127,3121,12664,846451550486.5974,140504886793.24506,48531243568.52063,19054441780.552338,3033851321.7754107,1072542226.837228
1613880473.647294,16,short_path,50249,26084,70311,846451550486.5974,140504886793.24506,48531243568.52063,19092990770.600372,3075921518.5872145,1197114157.8160985
1613880473.660534,32,long_path,4127,3126,12663,860999027386.3988,138857959727.0651,49477068464.123344,19092990770.600372,3075921518.5872145,1197114157.8160985
1613880473.733524,16,short_path,50265,26088,70313,860999027386.3988,138857959727.0651,49477068464.123344,19331210702.286633,3155908250.7071943,1119792421.1357782
1613880473.749446,32,long_path,3116,3116,12668,875247982494.6263,135313031200.72049,50702504883.385735,19331210702.286633,3155908250.7071943,1119792421.1357782
1613880473.823424,16,short_path,50267,26094,70335,875247982494.6263,135313031200.72049,50702504883.385735,19618667158.97548,3065389359.6980987,1106926283.2913654
1613880473.839314,32,long_path,4106,3121,12681,885555945204.2764,136354411407.94037,48012187265.72347,19618667158.97548,3065389359.6980987,1106926283.2913654
1613880473.9136682,16,short_path,50325,26119,70384,885555945204.2764,136354411407.94037,48012187265.72347,19882961421.059906,2988634771.896126,1191236433.8197086
1613880473.930785,32,long_path,4165,3127,12698,890125777893.1643,139227929525.99277,51178667326.42008,19882961421.059906,2988634771.896126,1191236433.8197086
1613880474.0043268,16,short_path,50235,26083,70294,890125777893.1643,139227929525.99277,51178667326.42008,20104641530.762287,3106166602.5866776,1119529369.4983068
1613880474.0205681,32,long_path,4129,3122,12696,888979239348.4144,138569276445.72955,48440493276.065506,20104641530.762287,3106166602.5866776,1119529369.4983068
1613880474.096478,16,short_path,50217,26061,70248,888979239348.4144,138569276445.72955,48440493276.065506,20238014919.93885,3172805096.554834,1162811778.2295783
1613880474.110286,32,long_path,3119,3119,12659,883416665746.9554,136277608227.97246,50055333561.24408,20238014919.93885,3172805096.554834,1162811778.2295783
1613880474.1887202,16,short_path,50247,26063,70250,883416665746.9554,136277608227.97246,50055333561.24408,20214274834.420654,3050932421.477364,1100290201.9126928
1613880474.200594,32,long_path,4101,3119,12665,875597873706.7366,136825798789.58414,49670452246.67272,20214274834.420654,3050932421.477364,1100290201.9126928
1613880474.278218,16,short_path,50195,25752,70234,875597873706.7366,136825798789.58414,49670452246.67272,20058494530.069077,2993185388.022302,1167630348.0135524
1613880474.291038,32,long_path,4090,3119,12677,867813935675.4412,138734179410.5476,48811165680.622955,20058494530.069077,2993185388.022302,1167630348.0135524
1613880474.367114,16,short_path,50190,26053,70239,867813935675.4412,138734179410.5476,48811165680.622955,19879872206.69088,3115075913.088903,1158560377.1710498
1613880474.381095,32,long_path,4115,3117,12658,862065095586.078,138390170299.72113,50461437291.75102,19879872206.69088,3115075913.088903,1158560377.1710498
1613880474.456888,16,short_path,50027,26024,70430,862065095586.078,138390170299.72113,50461437291.75102,19733632158.549305,3167054535.0793276,1111328731.036212
1613880474.471,32,long_path,4175,3265,12658,859661757529.1434,137068647442.7519,48751384950.81104,19733632158.549305,3167054535.0793276,1111328731.036212
1613880474.546816,16,short_path,50399,26079,70273,859661757529.1434,137068647442.7519,48751384950.81104,19653892020.129368,3113551797.907547,1194674665.7501605
1613880474.561266,32,long_path,4145,3124,12618,860759625097.1929,137458515951.83453,50220905063.59836,19653892020.129368,3113551797.907547,1194674665.7501605
1613880474.63715,16,short_path,50209,26059,70252,860759625097.1929,137458515951.83453,50220905063.59836,19640146208.306767,3069691928.9579573,1107052302.3277795
1613880474.650976,32,long_path,4142,3117,12645,864402675326.4817,138503088738.67664,49229173846.35047,19640146208.306767,3069691928.9579573,1107052302.3277795
1613880474.723691,16,short_path,50251,26086,70279,864402675326.4817,138503088738.67664,49229173846.35047,19674456310.815063,3080712796.587091,1167293395.6157837
1613880474.7404091,32,long_path,4133,3121,12661,869168671914.7355,138110263263.46356,49520582669.10731,19674456310.815063,3080712796.587091,1167293395.6157837
1613880474.818691,16,short_path,50264,26092,70288,869168671914.7355,138110263263.46356,49520582669.10731,19750680418.798016,3119116404.1203976,1144003841.576171
1613880474.833071,32,long_path,4146,3123,12669,873748180816.9205,137105095197.98895,50006768933.045654,19750680418.798016,3119116404.1203976,1144003841.576171
1613880474.9069068,16,short_path,50216,26069,70248,873748180816.9205,137105095197.98895,50006768933.045654,19853406357.026684,3115956220.6670322,1141548424.7771194
1613880474.920806,32,long_path,3122,3122,12681,876947131116.9354,137189254586.61133,48920593011.12648,19853406357.026684,3115956220.6670322,1141548424.7771194
1613880474.996833,16,short_path,50205,26058,70225,876947131116.9354,137189254586.61133,48920593011.12648,19916202638.229088,3036051705.6651545,1125392211.5077965
1613880475.0112672,32,long_path,4144,3124,12672,878055141246.4714,137934858590.54364,50108918528.461105,19916202638.229088,3036051705.6651545,1125392211.5077965
1613880475.087348,16,short_path,50208,26064,70237,878055141246.4714,137934858590.54364,50108918528.461105,19931139646.72395,3038586142.352511,1151775455.4404566
1613880475.100791,32,long_path,4127,3126,12685,877097310333.5995,137916928994.9746,49146638459.55547,19931139646.72395,3038586142.352511,1151775455.4404566
1613880475.1769621,16,short_path,50201,26058,70223,877097310333.5995,137916928994.9746,49146638459.55547,19943472076.353535,3145942165.4851003,1168900177.692021
1613880475.191473,32,long_path,4131,3208,12672,874628606887.7708,137261578177.45293,49704892062.41809,19943472076.353535,3145942165.4851003,1168900177.692021
1613880475.2684999,16,short_path,50192,26059,70224,874628606887.7708,137261578177.45293,49704892062.41809,19951499992.338757,3149406025.462517,1122327052.365393
1613880475.281558,32,long_path,4106,3121,12681,871458750011.5817,137256783963.28464,49581071266.29856,19951499992.338757,3149406025.462517,1122327052.365393
1613880475.372142,16,short_path,50379,26059,70235,871458750011.5817,137256783963.28464,49581071266.29856,19942404201.138767,3085974194.21919,1171584703.878362
1613880475.3763561,32,long_path,4264,3270,12674,868580961703.3405,138079789273.04938,49390786139.80563,19942404201.138767,3085974194.21919,1171584703.878362
1613880475.446728,16,short_path,50233,26076,70268,868580961703.3405,138079789273.04938,49390786139.80563,19920836363.582977,3095339355.9486666,1147375449.1340115
1613880475.4611971,32,long_path,4134,3086,12683,866761143562.8572,138234560328.32684,49893952540.098976,19920836363.582977,3095339355.9486666,1147375449.1340115
1613880475.533068,16,short_path,50288,26109,70324,866761143562.8572,138234560328.32684,49893952540.098976,19894576594.655613,3130686440.557458,1144911903.6123905
1613880475.5493069,32,long_path,4175,3129,12677,866351220897.7484,137621310840.54303,49274739607.53601,19894576594.655613,3130686440.557458,1144911903.6123905
1613880475.622665,16,short_path,50294,26111,70323,866351220897.7484,137621310840.54303,49274739607.53601,19868131118.98262,3113913074.578594,1155345291.5009315
1613880475.63928,32,long_path,4155,3114,12705,867339965004.6002,137603533431.64685,49902354575.273094,19868131118.98262,3113913074.578594,1155345291.5009315
1613880475.713505,16,short_path,50284,26100,70318,867339965004.6002,137603533431.64685,49902354575.273094,19859527099.909264,3096294365.355261,1149478448.9889123
1613880475.730185,32,long_path,3122,3122,12716,869278513784.6694,138071501687.97546,49434841008.067505,19859527099.909264,3096294365.355261,1149478448.9889123
1613880475.803545,16,short_path,50269,26094,70295,869278513784.6694,138071501687.97546,49434841008.067505,19837088977.318886,3056453482.5409327,1115139511.446621
1613880475.8196962,32,long_path,4164,3123,12699,871526630689.1285,138038296405.03336,49581502682.23006,19837088977.318886,3056453482.5409327,1115139511.446621
1613880475.896835,16,short_path,50411,26088,70302,871526630689.1285,138038296405.03336,49581502682.23006,19812257350.74052,3069063742.9430795,1171685473.9042184
1613880475.911392,32,long_path,4150,3127,12694,873547926566.3027,137656389842.00122,49825778047.74435,19812257350.74052,3069063742.9430795,1171685473.9042184
1613880475.98846,16,short_path,50260,26090,70296,873547926566.3027,137656389842.00122,49825778047.74435,19835365152.337784,3146170995.5023317,1152916075.6737666
1613880476.000839,32,long_path,4149,3139,12698,874848329180.3062,137596710821.3053,49305131740.238815,19835365152.337784,3146170995.5023317,1152916075.6737666
1613880476.076867,16,short_path,50283,26117,70329,874848329180.3062,137596710821.3053,49305131740.238815,19891633186.943474,3136112287.818575,1138461401.2418904
1613880476.091069,32,long_path,3138,3138,12740,875135372427.7384,137878211574.58316,49862765366.340034,19891633186.943474,3136112287.818575,1138461401.2418904
1613880476.1671839,16,short_path,50249,26080,70270,875135372427.7384,137878211574.58316,49862765366.340034,19917498189.390125,3052641602.2846713,1132990445.9046378
1613880476.181321,32,long_path,4152,3123,12724,874434145544.0319,137926084619.67313,49404114608.096794,19917498189.390125,3052641602.2846713,1132990445.9046378
1613880476.25552,16,short_path,50260,26092,70295,874434145544.0319,137926084619.67313,49404114608.096794,19907721367.104134,3063743766.3997545,1163459543.679312
1613880476.2710762,32,long_path,4151,3127,12695,873015589632.2745,137601200060.23114,49624500489.7534,19907721367.104134,3063743766.3997545,1163459543.679312
1613880476.34687,16,short_path,50284,26105,70324,873015589632.2745,137601200060.23114,49624500489.7534,19906186138.283745,3150185584.3195586,1157394770.6610897
1613880476.3602188,32,long_path,4117,3130,12694,871415339101.414,137627138673.19397,49724195233.222435,19906186138.283745,3150185584.3195586,1157394770.6610897
1613880476.437045,16,short_path,50332,26125,70358,871415339101.414,137627138673.19397,49724195233.222435,19909278041.1358,3136191659.13268,1131840978.040962
1613880476.4518342,32,long_path,4157,3144,12721,870176899191.0397,138066138437.481,49469070006.900795,19909278041.1358,3136191659.13268,1131840978.040962
1613880476.526719,16,short_path,50192,26128,70371,870176899191.0397,138066138437.481,49469070006.900795,19915455732.861145,3097009932.113742,1177973377.22847
1613880476.541007,32,long_path,4175,3136,12729,869571543236.9684,138103914343.81943,49789678900.97953,19915455732.861145,3097009932.113742,1177973377.22847
1613880476.613825,16,short_path,50305,26119,70345,869571543236.9684,138103914343.81943,49789678900.97953,19926343181.904243,3117142722.2755523,1139362525.8221693
1613880476.629171,32,long_path,4156,3124,12728,869647159584.267,137754832136.98352,49458372265.88772,19926343181.904243,3117142722.2755523,1139362525.8221693
1613880476.7030542,16,short_path,50323,26131,70359,869647159584.267,137754832136.98352,49458372265.88772,19940056212.647404,3135158957.3083706,1162165322.0513892
