timestamp,idx,path,c1,c2,c3,eb1_s,eb2_s,eb3_s,eb1_l,eb2_l,eb3_l
1613954786.001251,16,short_path,55863,27959,72151,0.0,0.0,0.0,0.0,0.0,0.0
1613954786.0724952,16,short_path,55860,27954,72163,97083154499.8557,130479504805.02325,97083154499.85568,0.0,0.0,0.0
1613954786.075134,32,long_path,4382,3338,13918,343433825148.0127,267032102763.08572,44922605638.22945,0.0,0.0,0.0
1613954786.163535,16,short_path,55856,27952,72162,343433825148.0127,267032102763.08572,44922605638.22945,2388186652.7900386,3209716592.372092,2388186652.790039
1613954786.1716118,32,long_path,4400,3333,13964,635687313123.9213,195223123620.19205,38658089404.469574,2388186652.7900386,3209716592.372092,2388186652.790039
1613954786.253053,16,short_path,55888,27964,72147,635687313123.9213,195223123620.19205,38658089404.469574,8474257731.400569,6589052276.938412,1108489370.5247223
1613954786.2584,32,long_path,4401,3345,14036,877832411059.4474,111830991179.58575,82562474545.20798,8474257731.400569,6589052276.938412,1108489370.5247223
1613954786.343067,16,short_path,55921,27990,72078,877832411059.4474,111830991179.58575,82562474545.20798,15749592157.014017,4834487302.4749,960547930.5403109
1613954786.348305,32,long_path,3363,3363,14117,1026051978507.1389,134039548934.9625,32565671955.375782,15749592157.014017,4834487302.4749,960547930.5403109
1613954786.433053,16,short_path,55910,27982,72068,1026051978507.1389,134039548934.9625,32565671955.375782,21696976751.508488,2762921366.9332747,1998516357.0605857
1613954786.43682,32,long_path,4456,3247,14186,1087140994983.4359,164173180313.01123,69648331465.8202,21696976751.508488,2762921366.9332747,1998516357.0605857
1613954786.522919,16,short_path,55877,27979,71993,1087140994983.4359,164173180313.01123,69648331465.8202,25432505557.52708,3331483312.76546,820118401.5866356
1613954786.528169,32,long_path,4523,3373,14200,1089202052734.4268,156062148137.69324,47795558257.78082,25432505557.52708,3331483312.76546,820118401.5866356
1613954786.612532,16,short_path,55845,27971,72012,1089202052734.4268,156062148137.69324,47795558257.78082,27059085197.14723,4191835377.0155654,1736498639.764171
1613954786.617037,32,long_path,4473,3377,14179,1058656310111.6172,143701108179.727,58492918889.583885,27059085197.14723,4191835377.0155654,1736498639.764171
1613954786.7032452,16,short_path,55833,27980,71973,1058656310111.6172,143701108179.727,58492918889.583885,27238214447.86576,3990254589.673399,1158951908.5292475
1613954786.711284,32,long_path,4585,3389,14170,1014999373146.6165,150703695021.26474,56092219317.6836,27238214447.86576,3990254589.673399,1158951908.5292475
1613954786.792792,16,short_path,55897,27993,72067,1014999373146.6165,150703695021.26474,56092219317.6836,26589994940.24359,3623551524.9420295,1476386335.0499456
1613954786.796528,32,long_path,4575,3390,14327,973306918878.316,161667919899.53366,51911762397.993286,26589994940.24359,3623551524.9420295,1476386335.0499456
1613954786.886774,16,short_path,55859,27994,71932,973306918878.316,161667919899.53366,51911762397.993286,25593885220.907883,3835020448.879436,1400797201.2230787
1613954786.892017,32,long_path,4591,3390,14116,944133246391.6537,157805438525.16663,59820980991.80973,25593885220.907883,3835020448.879436,1400797201.2230787
1613954786.976481,16,short_path,55860,28001,71916,944133246391.6537,157805438525.16663,59820980991.80973,24624170870.72531,4117827559.159621,1270564969.371261
1613954786.979923,32,long_path,4606,3388,14215,931278935182.7833,150402733675.27844,51533567898.73354,24624170870.72531,4117827559.159621,1270564969.371261
1613954787.0655959,16,short_path,55874,28003,71891,931278935182.7833,150402733675.27844,51533567898.73354,23908986746.34964,3979449773.3310823,1497403413.9595377
1613954787.070441,32,long_path,4595,3392,14219,932973202202.8837,152350407381.0904,57915667511.75141,23908986746.34964,3979449773.3310823,1497403413.9595377
1613954787.1564858,16,short_path,55894,28024,71943,932973202202.8837,152350407381.0904,57915667511.75141,23586003934.713043,3815326729.68977,1292554165.8072548
1613954787.160382,32,long_path,3400,3400,14150,944692477690.8773,156922294733.8764,54181424841.55615,23586003934.713043,3815326729.68977,1292554165.8072548
1613954787.2460768,16,short_path,55898,28036,71900,944692477690.8773,156922294733.8764,54181424841.55615,23562279958.56878,3803373344.980921,1364898830.9234102
1613954787.251158,32,long_path,4634,3410,14241,961186564517.5431,155115263655.64395,55233668488.69465,23562279958.56878,3803373344.980921,1364898830.9234102
1613954787.335813,16,short_path,55936,28025,71913,961186564517.5431,155115263655.64395,55233668488.69465,23761602763.612473,3911874941.8066936,1398330337.6293347
1613954787.340352,32,long_path,4535,3380,14139,977316072161.1865,150946285609.70584,56650935735.06228,23761602763.612473,3911874941.8066936,1398330337.6293347
