timestamp,idx,path,c1,c2,c3,eb1_s,eb2_s,eb3_s,eb1_l,eb2_l,eb3_l
1613955765.8027468,16,short_path,53178,24377,64853,0.0,0.0,0.0,0.0,0.0,0.0
1613955765.806462,32,long_path,2365,10366,9827,81306887137.47508,109276242882.60464,81306887137.4751,0.0,0.0,0.0
1613955765.8729868,16,short_path,52503,24228,64914,81306887137.47508,109276242882.60464,81306887137.4751,2234295265.012207,3002886971.162791,2234295265.012207
1613955765.876694,32,long_path,2228,2604,9579,286273845772.84467,222589163472.32034,37447359984.21051,2234295265.012207,3002886971.162791,2234295265.012207
1613955765.965067,16,short_path,52538,24387,65964,286273845772.84467,222589163472.32034,37447359984.21051,5751097478.62245,4583561810.560031,923936219.3799906
1613955765.968745,32,long_path,2733,2733,9938,532105512567.0149,162678198446.2724,33180887749.76725,5751097478.62245,4583561810.560031,923936219.3799906
1613955766.055239,16,short_path,52601,24593,66213,532105512567.0149,162678198446.2724,33180887749.76725,9518743101.07238,2753085839.2165446,1136387871.0277765
1613955766.059315,32,long_path,2301,2652,9929,737696616086.8618,94022248168.55774,70101395971.22925,9518743101.07238,2753085839.2165446,1136387871.0277765
1613955766.144886,16,short_path,52449,24786,66640,737696616086.8618,94022248168.55774,70101395971.22925,12241670454.22153,1771992653.4341815,1857908140.4731116
1613955766.148488,32,long_path,2318,2722,10152,865686831107.7051,113327205908.28395,27663498092.820255,12241670454.22153,1771992653.4341815,1857908140.4731116
1613955766.236831,16,short_path,52137,24798,66837,865686831107.7051,113327205908.28395,27663498092.820255,13703624289.045862,2549467951.2036285,810731836.2671608
1613955766.240912,32,long_path,2341,2708,10500,920346796735.6807,138271288377.575,59452503069.69979,13703624289.045862,2549467951.2036285,810731836.2671608
1613955766.326942,16,short_path,52230,24581,66507,920346796735.6807,138271288377.575,59452503069.69979,14210928213.802334,3018329676.025127,1778493949.6071944
1613955766.331253,32,long_path,2327,2683,10359,924364453700.8881,130788392735.54037,40349959651.96903,14210928213.802334,3018329676.025127,1778493949.6071944
