timestamp,idx,path,c1,c2,c3,eb1_s,eb2_s,eb3_s,eb1_l,eb2_l,eb3_l
1613955132.0932531,16,short_path,54632,27106,68925,0.0,0.0,0.0,0.0,0.0,0.0
1613955132.0960052,32,long_path,3320,3251,13566,90281677430.86304,121338337478.13953,90281677430.86302,0.0,0.0,0.0
1613955132.184271,16,short_path,54749,27101,68904,90281677430.86304,121338337478.13953,90281677430.86302,2191773008.511474,2945737170.0465107,2191773008.5114746
1613955132.188179,32,long_path,3321,3257,13559,319535427671.38434,248450258883.865,41796618621.7196,2191773008.511474,2945737170.0465107,2191773008.5114746
1613955132.274928,16,short_path,54623,26897,68909,319535427671.38434,248450258883.865,41796618621.7196,7750252114.532654,6026098824.202049,1013766180.95172
1613955132.279083,32,long_path,3312,3251,13540,591066799534.9543,181627154035.50174,35826610025.74122,7750252114.532654,6026098824.202049,1013766180.95172
1613955132.365652,16,short_path,54701,27103,68895,591066799534.9543,181627154035.50174,35826610025.74122,14330449060.537909,4402402520.142844,869901834.0695479
1613955132.369039,32,long_path,3330,13984,13499,816164691088.8579,103976505691.73004,76805769880.1683,14330449060.537909,4402402520.142844,869901834.0695479
1613955132.457508,16,short_path,54821,27108,68894,816164691088.8579,103976505691.73004,76805769880.1683,22968281532.664604,3335299061.731941,3371240492.1282597
1613955132.461505,32,long_path,3459,3294,13557,954198114108.1564,124950785027.08405,30338570790.585766,22968281532.664604,3335299061.731941,3371240492.1282597
1613955132.547132,16,short_path,54596,27086,68851,954198114108.1564,124950785027.08405,30338570790.585766,27593612981.930367,3905656307.0973473,976100144.0913665
1613955132.551071,32,long_path,3266,3266,13387,1011070857568.4473,152938546455.13635,64512884678.5999,27593612981.930367,3905656307.0973473,976100144.0913665
1613955132.6344619,16,short_path,54571,27069,68820,1011070857568.4473,152938546455.13635,64512884678.5999,29324894616.83026,2800114360.6194634,2151136171.256368
1613955132.638717,32,long_path,3333,3258,13550,1012960052018.1951,145066448940.51004,44422944544.92722,29324894616.83026,2800114360.6194634,2151136171.256368
1613955132.72483,16,short_path,54550,27059,68806,1012960052018.1951,145066448940.51004,44422944544.92722,28914495616.7623,2502121839.466645,2129263159.231677
1613955132.729153,32,long_path,3319,3250,13537,984450257442.2234,133603159396.8224,54282147606.62052,28914495616.7623,2502121839.466645,2129263159.231677
1613955132.814207,16,short_path,54539,27057,68803,984450257442.2234,133603159396.8224,54282147606.62052,27420635922.099506,3169929841.312218,1561650798.2320428
1613955132.8190029,32,long_path,3317,3255,13554,943724381108.1761,140279145897.01602,52028436145.28105,27420635922.099506,3169929841.312218,1561650798.2320428
1613955132.904164,16,short_path,54535,27054,68805,943724381108.1761,140279145897.01602,52028436145.28105,25708225163.956497,3406749615.7495604,2231880597.735183
